azimuthal_phi,cross_section
0.,-0.003929058663028649
50.122591943957964,-0.0046166439290586635
100.24518388791593,-0.006024556616643929
150.05253940455341,-0.006952251023192361
200.17513134851137,-0.00703956343792633
250.29772329246933,-0.006231923601637108
300.7355516637478,-0.004824010914051841
349.9124343257443,-0.0039727148703956345
26.479859894921187,-0.004125511596180081
72.50437828371278,-0.005238744884038199
123.88791593695271,-0.006559345156889496
175.9019264448336,-0.007105047748976807
228.23117338003502,-0.00669031377899045
280.2451838879159,-0.005435197817189631
328.79159369527144,-0.004201909959072305
359.68476357267946,-0.003929058663028649
