azimuthal_phi,cross_section
0.6304728546409807,-0.004180081855388813
50.122591943957964,-0.004725784447476126
100.24518388791593,-0.0058499317871759885
150.3677758318739,-0.006712141882673943
200.17513134851137,-0.006788540245566166
249.98248686514884,-0.006068212824010914
299.78984238178634,-0.0049440654843110506
350.85814360770576,-0.004180081855388813
359.99999999999994,-0.004169167803547067
24.903677758318736,-0.0043110504774897685
77.54816112084062,-0.005369713506139154
125.77933450087565,-0.006362892223738063
175.58669001751312,-0.0068649386084583906
227.28546409807353,-0.006472032742155525
277.723292469352,-0.005457025920873124
326.584938704028,-0.004452933151432469
