azimuthal_phi,cross_section
0,-0.00338098
15.2,-0.0034737
29.5,-0.00371817
45.0,-0.00411884
60.26,-0.00460033
75.06,-0.00509908
90.1,-0.00559394
105.1,-0.00604245
120.1,-0.00642785
135.4,-0.00673197
150.1,-0.00694438
165.2,-0.007078434
180.0,-0.00711805
195.0,-0.00707306
210.0,-0.00694321
225.0,-0.00672504
240.0,-0.00642189
255.0,-0.00603827
270.0,-0.00559077
285.0,-0.00509638
300.0,-0.00459171
315.0,-0.00411737
330.0,-0.00372914
345.0,-0.0034713
360.0,-0.00338098
