azimuthal_phi,cross_section
0.,0.00013678474114441422
49.626168224299086,-0.00020326975476839227
100.65420560747664,-0.0005809264305177112
149.71962616822427,-0.0006790190735694822
200.18691588785046,-0.0006871934604904633
250.65420560747663,-0.0006119891008174387
300.,-0.00030953678474114437
349.34579439252343,0.0001155313351498638
360.,0.00013678474114441422
24.392523364485978,0.00003378746594005452
74.85981308411216,-0.00042888283378746594
125.04672897196261,-0.000649591280653951
175.2336448598131,-0.0006904632152588555
224.85981308411212,-0.0006659400544959126
275.0467289719626,-0.0004942779291553132
324.95327102803736,-0.0000594005449591281
