azimuthal_phi,cross_section
0.,0.009369649805447472
50.18691588785045,0.009133592736705578
105.98130841121493,0.00851621271076524
153.0841121495327,0.00809857328145266
201.30841121495325,0.00809857328145266
247.85046728971957,0.008443579766536966
304.20560747663546,0.009060959792477303
351.02803738317755,0.009369649805447472
359.7196261682241,0.009387808041504539
24.112149532710276,0.009315175097276265
78.22429906542057,0.008843060959792478
133.17757009345792,0.00824383916990921
181.40186915887844,0.008044098573281453
227.38317757009344,0.00824383916990921
276.44859813084105,0.008770428015564203
332.2429906542055,0.009278858625162128
