azimuthal_phi,cross_section
0.5607476635513796,0.0000968523002421312
50.186915887850446,0.015230024213075056
100.09345794392522,0.012324455205811134
149.99999999999997,0.004334140435835354
199.62616822429905,-0.0028087167070217946
250.0934579439252,-0.010859564164648911
299.99999999999994,-0.015762711864406784
350.46728971962614,-0.004140435835351088
360.,-0.00008474576271187001
24.95327102803736,0.010084745762711865
75.70093457943925,0.015169491525423722
125.04672897196261,0.008389830508474576
174.9532710280374,0.0008232445520581153
225.4205607476635,-0.006743341404358354
275.0467289719626,-0.014309927360774816
325.5140186915888,-0.012615012106537534
