azimuthal_phi,cross_section
0.0,0
15.0,0.00019573
30.0,0.00037342
45.0,0.00050837
60.0,0.00059465
75.0,0.00063134
79.33589,0.00063321
90.0,0.0006225
105.0,0.00057466
120.0,0.00049524
135.0,0.00039154
150.0,0.00027036
165.0,0.00013793
180.0,0.0
195.0,-0.00013793
210.0,-0.00027036
225.0,-0.00039154
240.0,-0.00049524
255.0,-0.00057466
270.0,-0.0006225
280.66411,-0.00063321
295.0,-0.00063134
300.0,-0.00059465
315.0,-0.00050837
330.0,-0.00037342
345.0,-0.00019573
360.0,0.0
