azimuthal_phi,cross_section
0.28169014084506727,-0.00549210206561361
50.704225352112665,-0.005783718104495747
100.00000000000001,-0.005764277035236939
150.14084507042259,-0.005394896719319564
200.,-0.005356014580801945
250.14084507042253,-0.005686512758201702
300.2816901408451,-0.005832320777642772
350.1408450704226,-0.005501822600243015
360.,-0.005482381530984204
24.78873239436619,-0.005589307411907657
75.21126760563381,-0.005861482381530985
125.63380281690142,-0.0055698663426488465
175.21126760563382,-0.005336573511543136
225.63380281690144,-0.005501822600243015
275.4929577464789,-0.005822600243013367
326.76056338028167,-0.0056476306196840825
