azimuthal_phi,cross_section
0.5607476635513956,0.00009591280653950952
48.785046728971956,-0.00020326975476839227
98.69158878504672,-0.0005465940054495913
154.4859813084112,-0.0006528610354223432
202.4299065420561,-0.0006544959128065395
248.6915887850467,-0.000589100817438692
300.5607476635514,-0.00030136239782016354
345.14018691588785,0.00005667574931880119
356.07476635514024,0.00009100817438692098
24.392523364485978,-5.44959128065273e-7
75.98130841121495,-0.0004272479564032697
125.04672897196261,-0.0006201634877384196
178.31775700934577,-0.0006577656675749318
225.70093457943926,-0.0006365122615803815
273.0841121495327,-0.0004926430517711172
326.35514018691595,-0.00007411444141689372
