azimuthal_phi,cross_section
0.0,0.00098652
15.0,0.001141917
30.0,0.001198847
31.51536,0.001199306
45.0,0.001165676
60.0,0.001062652
75.0,0.000911384
90.0,0.000732278
105.0,0.000537835
120.0,0.000338915
135.0,0.000143419
146.48119,0.0
150.0,-0.000042442
165.0,-0.000213259
180.0,-0.000363936
195.0,-0.000489133
210.0,-0.000583157
225.0,-0.000639655
236.22718,-0.000653172
240.0,-0.000651567
255.0,-0.000611521
270.0,-0.000512716
285.0,-0.000350746
300.0,-0.000126652
307.18162,0.0
315.0,0.00014893
330.0,0.000452011
345.0,0.000745387
360.0,0.00098652
